GEOID,state,delta
17173.0,Illinois,-53.960036330608546
17175.0,Illinois,-37.440758293838854
17177.0,Illinois,-16.295531632502588
17179.0,Illinois,-27.984472049689444
17181.0,Illinois,-39.68607239076959
17183.0,Illinois,-29.597644749754657
17185.0,Illinois,-53.00146412884334
17187.0,Illinois,-16.49801460228
17189.0,Illinois,-55.51366635249764
17191.0,Illinois,-71.64992131703184
17193.0,Illinois,-57.641445126107705
17195.0,Illinois,-6.176217653037298
17197.0,Illinois,6.383098928561935
17199.0,Illinois,-40.77922893381892
17201.0,Illinois,0.07518415895114572
17203.0,Illinois,-40.8527990334273
18001.0,Indiana,-52.27654698242932
18003.0,Indiana,-19.402325723645312
18005.0,Indiana,-33.237919359803016
18007.0,Indiana,-46.89034369885434
18009.0,Indiana,-43.542054143418056
18011.0,Indiana,-29.439368512648393
18013.0,Indiana,-31.44115796098175
18015.0,Indiana,-50.68841837325003
18017.0,Indiana,-41.81856569779717
18019.0,Indiana,-21.95045652726455
18021.0,Indiana,-55.17638716539621
18023.0,Indiana,-47.85522788203753
18025.0,Indiana,-36.83866753755715
18027.0,Indiana,-62.63930163447251
18029.0,Indiana,-55.154875557593684
18031.0,Indiana,-57.23914801833379
18033.0,Indiana,-47.99432019879304
18035.0,Indiana,-13.540766349755117
18037.0,Indiana,-39.91192954363491
18039.0,Indiana,-32.19107115648332
18041.0,Indiana,-48.132214060860434
18043.0,Indiana,-20.005344021376082
18045.0,Indiana,-55.872931126534965
18047.0,Indiana,-60.83719240897122
18049.0,Indiana,-48.363983759254836
18051.0,Indiana,-47.53293722552311
18053.0,Indiana,-39.49905183312263
18055.0,Indiana,-53.24251865806825
18057.0,Indiana,-19.539596514884344
18059.0,Indiana,-44.69196539620242
18061.0,Indiana,-43.97025541545425
18063.0,Indiana,-34.06212363848118
18065.0,Indiana,-43.51773753411064
18067.0,Indiana,-33.81917867708928
18069.0,Indiana,-50.75733964969145
18071.0,Indiana,-51.305980765947766
18073.0,Indiana,-45.245926147406195
18075.0,Indiana,-47.683446030553455
18077.0,Indiana,-31.157708210277615
18079.0,Indiana,-52.5560538116592
18081.0,Indiana,-42.312781954887214
